,location_name,vehicle,value_description,nutrient,n_data_points,value_means
601,India,salt,percent of population eating industrially produced vehicle,na,2,"[100.0, 93.0]"
618,India,wheat flour,percent of population eating industrially produced vehicle,na,1,[7.1]
631,Indonesia,oil,percent of population eating industrially produced vehicle,na,0,[nan]
648,Indonesia,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
669,Kenya,maize flour,percent of population eating industrially produced vehicle,na,1,[36.67]
682,Kenya,oil,percent of population eating industrially produced vehicle,na,1,[9.39]
699,Kenya,wheat flour,percent of population eating industrially produced vehicle,na,1,[30.95]
720,Madagascar,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
733,Madagascar,oil,percent of population eating industrially produced vehicle,na,0,[nan]
750,Madagascar,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
771,Mozambique,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
784,Mozambique,oil,percent of population eating industrially produced vehicle,na,0,[nan]
801,Mozambique,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
814,Myanmar,oil,percent of population eating industrially produced vehicle,na,1,[10.0]
831,Myanmar,wheat flour,percent of population eating industrially produced vehicle,na,1,[50.0]
844,Nepal,oil,percent of population eating industrially produced vehicle,na,0,[nan]
861,Nepal,wheat flour,percent of population eating industrially produced vehicle,na,2,"[37.0, 43.0]"
878,Niger,bouillon,percent of population eating industrially produced vehicle,na,0,[nan]
897,Niger,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
910,Niger,oil,percent of population eating industrially produced vehicle,na,0,[nan]
927,Niger,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
944,Nigeria,bouillon,percent of population eating industrially produced vehicle,na,2,"[83.0, 40.0]"
963,Nigeria,maize flour,percent of population eating industrially produced vehicle,na,2,"[2.9, 11.0]"
976,Nigeria,oil,percent of population eating industrially produced vehicle,na,2,"[22.7, 35.9]"
991,Nigeria,rice,percent of population eating industrially produced vehicle,na,2,"[100.0, 99.0]"
1003,Nigeria,salt,percent of population eating industrially produced vehicle,na,1,[93.0]
1020,Nigeria,wheat flour,percent of population eating industrially produced vehicle,na,2,"[13.8, 83.8]"
1033,Pakistan,oil,percent of population eating industrially produced vehicle,na,3,"[99.0, 99.0, 99.0]"
1050,Pakistan,wheat flour,percent of population eating industrially produced vehicle,na,3,"[52.0, 31.0, 63.0]"
1071,South Africa,maize flour,percent of population eating industrially produced vehicle,na,2,"[98.7, 95.4]"
1084,South Africa,oil,percent of population eating industrially produced vehicle,na,0,[nan]
1101,South Africa,wheat flour,percent of population eating industrially produced vehicle,na,2,"[25.2, 4.3]"
1122,Sudan,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
1135,Sudan,oil,percent of population eating industrially produced vehicle,na,0,[nan]
1152,Sudan,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
1173,Uganda,maize flour,percent of population eating industrially produced vehicle,na,3,"[42.4, 42.4, 6.5]"
1186,Uganda,oil,percent of population eating industrially produced vehicle,na,3,"[89.0, 89.0, 54.0]"
1203,Uganda,wheat flour,percent of population eating industrially produced vehicle,na,3,"[10.6, 10.6, 8.5]"
1224,United Republic of Tanzania,maize flour,percent of population eating industrially produced vehicle,na,3,"[36.6, 36.6, 2.5]"
1237,United Republic of Tanzania,oil,percent of population eating industrially produced vehicle,na,3,"[92.6, 92.6, 54.0]"
1254,United Republic of Tanzania,wheat flour,percent of population eating industrially produced vehicle,na,3,"[50.5, 50.5, 33.0]"
1267,Vietnam,oil,percent of population eating industrially produced vehicle,na,1,[90.0]
1284,Vietnam,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
