,location_name,vehicle,value_description,nutrient,n_data_points,value_means
19,Democratic Republic of the Congo,bouillon,percent of population eating vehicle,na,0,[nan]
20,Democratic Republic of the Congo,maize flour,percent of population eating vehicle,na,8,"[20.7, 27.2, 42.7, 30.0, 64.0, 31.0, 53.0, 93.44]"
21,Democratic Republic of the Congo,oil,percent of population eating vehicle,na,5,"[97.3, 95.6, 98.1, 88.41, 100.0]"
22,Democratic Republic of the Congo,wheat flour,percent of population eating vehicle,na,1,[0.58]
23,Egypt,maize flour,percent of population eating vehicle,na,0,[nan]
24,Egypt,oil,percent of population eating vehicle,na,0,[nan]
25,Egypt,wheat flour,percent of population eating vehicle,na,0,[nan]
26,Ethiopia,maize flour,percent of population eating vehicle,na,0,[nan]
27,Ethiopia,oil,percent of population eating vehicle,na,2,"[55.0, 3.7]"
28,Ethiopia,salt,percent of population eating vehicle,na,0,[nan]
29,Ethiopia,wheat flour,percent of population eating vehicle,na,1,[28.0]
30,Ghana,bouillon,percent of population eating vehicle,na,0,[nan]
31,Ghana,maize flour,percent of population eating vehicle,na,0,[nan]
32,Ghana,oil,percent of population eating vehicle,na,4,"[98.0, 94.7, 96.8, 95.6]"
33,Ghana,rice,percent of population eating vehicle,na,0,[nan]
34,Ghana,wheat flour,percent of population eating vehicle,na,0,[nan]
35,India,rice,percent of population eating vehicle,na,1,[50.0]
36,India,salt,percent of population eating vehicle,na,1,[100.0]
37,India,wheat flour,percent of population eating vehicle,na,1,[83.2]
38,Indonesia,oil,percent of population eating vehicle,na,0,[nan]
39,Indonesia,wheat flour,percent of population eating vehicle,na,0,[nan]
40,Kenya,maize flour,percent of population eating vehicle,na,12,"[85.27, 57.0, 63.0, 81.0, 16.0, 38.0, 17.0, 89.0, 91.0, 95.0, 2.0, 3.0]"
41,Kenya,oil,percent of population eating vehicle,na,13,"[16.17, 6.0, 16.0, 7.0, 12.0, 38.0, 45.0, 60.0, 70.0, 72.0, 9.0, 18.0, 17.0]"
42,Kenya,wheat flour,percent of population eating vehicle,na,1,[36.58]
43,Madagascar,maize flour,percent of population eating vehicle,na,0,[nan]
44,Madagascar,oil,percent of population eating vehicle,na,0,[nan]
45,Madagascar,wheat flour,percent of population eating vehicle,na,0,[nan]
46,Mozambique,maize flour,percent of population eating vehicle,na,1,[79.9]
47,Mozambique,oil,percent of population eating vehicle,na,2,"[95.2, 98.0]"
48,Mozambique,wheat flour,percent of population eating vehicle,na,3,"[16.3, 92.0, 92.0]"
49,Myanmar,wheat flour,percent of population eating vehicle,na,1,[5.0]
50,Nepal,oil,percent of population eating vehicle,na,3,"[99.8, 100.0, 99.8]"
51,Nepal,wheat flour,percent of population eating vehicle,na,6,"[8.8, 16.5, 7.4, 42.7, 52.1, 40.3]"
52,Niger,bouillon,percent of population eating vehicle,na,3,"[88.0, 99.0, 86.0]"
53,Niger,maize flour,percent of population eating vehicle,na,0,[nan]
54,Niger,oil,percent of population eating vehicle,na,3,"[85.0, 98.0, 76.0]"
55,Niger,wheat flour,percent of population eating vehicle,na,0,[nan]
56,Nigeria,bouillon,percent of population eating vehicle,na,0,[nan]
57,Nigeria,maize flour,percent of population eating vehicle,na,2,"[12.2, 77.1]"
58,Nigeria,oil,percent of population eating vehicle,na,2,"[98.6, 98.4]"
59,Nigeria,rice,percent of population eating vehicle,na,1,[14.9]
60,Nigeria,salt,percent of population eating vehicle,na,0,[nan]
61,Nigeria,wheat flour,percent of population eating vehicle,na,2,"[14.2, 83.9]"
62,Pakistan,oil,percent of population eating vehicle,na,3,"[100.0, 100.0, 100.0]"
63,Pakistan,wheat flour,percent of population eating vehicle,na,3,"[100.0, 100.0, 92.0]"
64,South Africa,maize flour,percent of population eating vehicle,na,2,"[98.7, 95.6]"
65,South Africa,oil,percent of population eating vehicle,na,0,[nan]
66,South Africa,wheat flour,percent of population eating vehicle,na,2,"[25.2, 4.3]"
67,Sudan,maize flour,percent of population eating vehicle,na,0,[nan]
68,Sudan,oil,percent of population eating vehicle,na,0,[nan]
69,Sudan,wheat flour,percent of population eating vehicle,na,0,[nan]
70,Vietnam,oil,percent of population eating vehicle,na,10,"[91.5, 89.4, 38.3, 45.8, 28.9, 38.3, 41.5, 43.8, 33.6, 93.9]"
71,Vietnam,wheat flour,percent of population eating vehicle,na,10,"[4.2, 38.8, 46.7, 31.1, 16.4, 17.5, 9.6, 22.7, 13.5, 18.8]"
